ID,Name,ID,Name,IATACountryCode,ICAOCode,City,CityName,IATACode,IATACountryCode,ICAOCode,Latitude,Longitude,TimeZone
arp_cvn_us,Clovis Municipal Airport,cit_cvn_us,Clovis,US,,,Clovis,CVN,US,KCVN,34.42587,-103.078705,America/Denver
arp_doe_sr,Djoemoe Airport,,,,,,Djoemoe,DOE,SR,,4.008215,-55.47944,America/Paramaribo
arp_nll_au,Nullagine Airport,,,,,,Nullagine,NLL,AU,YNUL,-21.914623,120.19993,Australia/Perth
arp_onu_fj,Ono-i-Lau Airport,,,,,,Ono-i-Lau,ONU,FJ,NFOL,-20.658432,-178.74171,Pacific/Fiji
arp_agw_au,Agnew Airport,,,,,,Agnew,AGW,AU,,-12.14565,142.14932,Australia/Brisbane
arp_hvg_no,Honningsvåg Airport,,,,,,Honningsvåg,HVG,NO,ENHV,71.00962,25.984167,Europe/Oslo
arp_orp_bw,Orapa Airport,,,,,,Orapa,ORP,BW,FBOR,-21.266626,25.317638,Africa/Gaborone
arp_lqk_us,Pickens County Airport,,,,,,Pickens,LQK,US,KLQK,34.81004,-82.70253,America/New_York
arp_rtc_in,Ratnagiri Airport,,,,,,Ratnagiri,RTC,IN,VARG,17.013617,73.32815,Asia/Kolkata
arp_cet_fr,Cholet Le Pontreau Airport,,,,,,Cholet,CET,FR,LFOU,47.081566,-0.877357,Europe/Paris
arp_apf_us,Naples Municipal Airport,,,,,,Naples,APF,US,KAPF,26.1514,-81.77507,America/New_York
arp_ypo_ca,Peawanuck Airport,,,,,,Peawanuck,YPO,CA,CYPO,54.988304,-85.442474,America/Toronto
arp_isw_us,South Wood County Airport,,,,,,Wisconsin Rapids,ISW,US,KISW,44.36071,-89.8375,America/Chicago
arp_npo_id,Nanga Pinoh Airport,,,,,,Nangapinoh,NPO,ID,WIOG,-0.34916,111.74798,Asia/Jakarta
arp_ont_us,Ontario International Airport,cit_lax_us,Los Angeles,US,,,Ontario,ONT,US,KONT,34.05599,-117.599525,America/Los_Angeles
arp_hon_us,Huron Regional Airport,,,,,,Huron,HON,US,KHON,44.385075,-98.226364,America/Chicago
arp_ksw_il,Kiryat Shmona Airport,,,,,,Kiryat Shmona,KSW,IL,LLKS,33.217106,35.59781,Asia/Jerusalem
arp_wwp_us,North Whale Seaplane Base,,,,,,North Whale Pass,WWP,US,,56.116306,-133.12181,America/Sitka
arp_pen_my,Penang International Airport,,,,,,Penang,PEN,MY,WMKP,5.295929,100.27336,Asia/Kuala_Lumpur
arp_dip_bf,Diapaga Airport,,,,,,Diapaga,DIP,BF,DFED,12.0614,1.785865,Africa/Ouagadougou
arp_dro_us,Durango-La Plata County Airport,cit_dro_us,Durango,US,,,Durango,DRO,US,KDRO,37.151302,-107.75351,America/Denver
arp_grb_us,Green Bay–Austin Straubel International Airport,,,,,,Green Bay,GRB,US,KGRB,44.487267,-88.129616,America/Chicago
arp_twd_us,Jefferson County International Airport,,,,,,Port Townsend,TWD,US,,48.05553,-122.810585,America/Los_Angeles
arp_akt_cy,Royal Air Forces Akrotiri Airport,,,,,,Akrotiri,AKT,CY,LCRA,34.5904,32.9879,Europe/London
arp_gta_sb,Gatokae Airport,,,,,,Gatokae,GTA,SB,AGOK,-8.738961,158.2009,Pacific/Guadalcanal
arp_knz_ml,Kenieba Airport,,,,,,Kenieba,KNZ,ML,GAKA,12.839553,-11.252844,Africa/Bamako
arp_yyz_ca,Toronto Pearson International Airport,cit_yto_ca,Toronto,CA,,,Toronto,YYZ,CA,CYYZ,43.67746,-79.62771,America/Toronto
arp_hsk_es,Huesca–Pirineos Airport,,,,,,Huesca,HSK,ES,LEHC,42.078945,-0.319596,Europe/Madrid
arp_lee_us,Leesburg International Airport,,,,,,Leesburg,LEE,US,KLEE,28.82303,-81.80861,America/New_York
