Name,IATACode,ID
SilkAir,MI,arl_00009VME7DDSWSIAygCT2W
SkyEurope,NE,arl_00009VME7DDSWSIAygCT2F
Aero Benin,EM,arl_00009VME7DAGiJjwomhv3J
Air Zimbabwe,UM,arl_00009VME7DAyfgJ6qz2U9l
Bangkok Airways,PG,arl_00009VME7DBKeMags5Clic
Germania,ST,arl_00009VME7DC2bj9quHXKpQ
TAME,EQ,arl_00009VME7DDoV8ZkzmMkZV
Air Canada Jazz,QK,arl_00009VME7DAyfgJ6qz2UAe
Air Foyle,GS,arl_00009VME7DAyfgJ6qz2U9s
Carpatair,V3,arl_00009VME7DBgd2sGtBN3GB
Niki,HG,arl_00009VME7DD6Xm0axa2BT1
FlyLal,TE,arl_00009VME7DC2bj9quHXKp7
MIAT Mongolian Airlines,OM,arl_00009VME7DCkZ5j0wTrtvR
Oasis Hong Kong Airlines,O8,arl_00009VME7DD6Xm0axa2BTI
Pacific Wings,LW,arl_00009VME7DD6Xm0axa2BTi
Aeropelican Air Services,OT,arl_00009VME7DBKeMags5Clho
Albanian Airlines,LV,arl_00009VME7DAyfgJ6qz2UAi
Eurowings Discover,4Y,arl_0000A9mGRng0IZQrzbxYp6
ExpressJet,EV,arl_00009VME7DAch01WpssCcQ
WestJet,WS,arl_00009VME7DDoV8ZkzmMkaw
Mexicana de Aviaci,MX,arl_00009VME7DCkZ5j0wTrtvo
Nasair,UE,arl_00009VME7DCkZ5j0wTrtw3
Royal Brunei Airlines,BI,arl_00009VME7DDSWSIAygCT1E
Tom's & co airliners,&T,arl_00009VME7DEATorL0sX28s
Astrakhan Airlines,OB,arl_00009VME7DAch01WpssCcR
Conviasa,V0,arl_00009VME7DBgd2sGtBN3Gx
Scoot,TR,arl_00009VME7DDoV8ZkzmMkZh
ExpressJet Airlines as United Express,,arl_00009khl1XsNL7OhtKdJ3I
KSY,KY,arl_00009VME7DEATorL0sX28p
LATAM Airlines Peru,LP,arl_00009VME7DCkZ5j0wTrtuv
OpenSkies as LEVEL,,arl_00009vhikmfnQn9s6Ngfb6
Air Botswana,BP,arl_00009VME7DAyfgJ6qz2U9r
Air Italy,IG,arl_00009VME7DCkZ5j0wTrtvk
CityJet,WX,arl_00009VME7DBgd2sGtBN3Gf
Eurowings,EW,arl_00009VME7DC2bj9quHXKoh
Pacific Coastal Airlines as WestJet Link,,arl_00009vhk1uJmMQbcgn7MP2
Transwest Air,9T,arl_00009VME7DDoV8ZkzmMka4
Wind Jet,IV,arl_00009VME7DEATorL0sX27n
PAL Express,2P,arl_00009VME7DAyfgJ6qz2UAQ
Regional Paraguaya,P7,arl_00009VME7DEATorL0sX28Y
Air Bangladesh,B9,arl_00009VME7DAyfgJ6qz2U9Y
Kuban Airlines,GW,arl_00009VME7DCOaPRQvNhcO0
Luke Air,BV,arl_00009VME7DBKeMags5Clil
Mesa Airlines as American Eagle,,arl_00009khl7HCsEFjFvhxBmy
bmibaby,WW,arl_00009VME7DBKeMags5Clih
Middle East Airlines,ME,arl_00009VME7DCkZ5j0wTrtvq
Republic Airline as American Airlines,,arl_0000AA3AG3xWdcDYynUgiG
Hawaiian Airlines,HA,arl_00009VME7DCOaPRQvNhcMc
NetJets,1I,arl_00009VME7DD6Xm0axa2BSz
AlMasria Universal Airlines,UJ,arl_00009VME7DEATorL0sX28Z
Valuair,VF,arl_00009VME7DDoV8ZkzmMkaY
Polynesian Airlines,PH,arl_00009VME7DD6Xm0axa2BU0
STP Airways,8F,arl_00009VME7DEATorL0sX28d
VLM Airlines,VG,arl_00009VME7DDoV8ZkzmMkas
Gazpromavia,4G,arl_00009VME7DC2bj9quHXKpM
LATAM Airlines Colombia,4C,arl_00009VME7DAch01WpssCcK
Moldavian Airlines,2M,arl_00009VME7DCkZ5j0wTrtvs
Piedmont Airlines (1948-1989),PI,arl_00009VME7DD6Xm0axa2BTx
Finncomm Airlines,FC,arl_00009VME7DC2bj9quHXKox
Go First,G8,arl_00009VME7DC2bj9quHXKpU
Republic Airlines,RW,arl_00009VME7DD6Xm0axa2BUF
Republic Airways as United Express,,arl_00009khkzVtPk5MTA49MB6
Air Caraïbes,TX,arl_00009VME7DAyfgJ6qz2U9c
Air India,AI,arl_00009VME7DAch01WpssCbd
Alitalia CityLiner,CT,arl_0000A87372pXOrxxuciSki
Euroline,4L,arl_00009VME7DEATorL0sX28f
Asian Spirit,6K,arl_00009VME7DBKeMags5Clhw
EVA Air,BR,arl_00009VME7DC2bj9quHXKoH
Korean Air,KE,arl_00009VME7DCOaPRQvNhcNx
Libyan Wings,YL,arl_0000ACUK5D4sjSycUBLbF3
Aegean Airlines,A3,arl_00009VME7DAGiJjwomhv3K
